,N,average,min,max,std,5_percentile,95_percentile
0,2,0.018567613400000006,0.003528360000000001,1.0,0.0765662455658908,0.003528360000000001,0.11527164000000001
1,3,0.00209307344004,0.0002095845840000001,0.16782450458400003,0.012138153160989922,0.0002095845840000001,0.010165910832000002
2,4,0.00044321973573556813,1.2449324289600008e-05,0.019530831300868804,0.002374396733302271,1.2449324289600008e-05,0.0008009903631312004
3,5,3.011362923595041e-05,7.394898628022405e-07,0.0019135429148328146,0.0001905917897875789,7.394898628022405e-07,5.9288661996791076e-05
4,6,2.267960572059456e-05,4.392569785045309e-08,0.0036576544650503777,0.0002587586680863154,4.392569785045309e-08,4.217310687561178e-06
5,7,4.270695669083306e-07,2.609186452316914e-09,1.4031025490865945e-05,2.1819886862280986e-06,2.609186452316914e-09,2.918247662392702e-07
6,8,2.04673068716327e-07,1.5498567526762471e-10,3.55695124935057e-05,2.5117126501175885e-06,1.5498567526762471e-10,1.978859189166194e-08
7,9,1.991716273549935e-08,9.206149110896909e-12,3.1549510940129775e-06,2.2291942562341735e-07,9.206149110896909e-12,5.476380136126641e-09
8,10,1.701261834960933e-09,5.468452571872765e-13,2.6681367331817535e-07,1.8846989021486297e-08,5.468452571872765e-13,6.2575498874301015e-09
9,11,1.4445315663355977e-10,3.2482608276924226e-14,2.1734583619216367e-08,1.5351024379512036e-09,3.2482608276924226e-14,4.536622380102512e-10
10,12,3.10232266024599e-10,1.9294669316492994e-15,6.176825292154132e-08,4.356648144342342e-09,1.9294669316492994e-15,3.6856716307494843e-13
11,13,1.5467760110209107e-12,1.146103357399684e-16,1.3241566368182666e-10,1.316944326794202e-11,1.146103357399684e-16,2.2652939565330775e-12
12,14,2.5099738587236534e-12,6.8078539429541245e-18,4.3846425809085444e-10,3.0950848172206246e-11,6.8078539429541245e-18,1.5685796698332198e-13
13,15,8.252423658491084e-15,4.04386524211475e-19,7.413164232865143e-13,7.372962484916032e-14,4.04386524211475e-19,1.0743352907523872e-14
14,16,5.369515544210891e-13,2.402055953816162e-20,1.0726486196444457e-10,7.565742888924316e-12,2.402055953816162e-20,7.288820504826315e-16
15,17,2.3184208105792923e-15,1.4268212365668005e-21,2.1741265561567445e-13,2.1629624971940855e-14,1.4268212365668005e-21,4.904254315891741e-17
16,18,1.4426588440231106e-17,8.475318145206795e-23,2.778765213240796e-16,6.045129190727462e-17,8.475318145206795e-23,1.700578621579002e-17
17,19,7.234991291790042e-18,5.0343389782528375e-24,1.2464621007037615e-15,8.794987947695544e-17,5.0343389782528375e-24,1.9587033489497735e-17
18,20,4.848094851154772e-19,2.990397353082186e-25,9.246341248202502e-17,6.5223055448091606e-18,2.990397353082186e-25,1.4341878238459596e-20
19,21,4.113473463923365e-20,1.7762960277308186e-26,6.779009881561064e-18,4.782846288706946e-19,1.7762960277308186e-26,9.474553190823033e-20
20,22,2.8917159657412996e-19,1.0551198404721064e-27,2.815555464232481e-17,2.8013142841773978e-18,1.0551198404721064e-27,6.513242492812919e-21
21,23,1.1579360572540168e-20,6.267411852404313e-29,2.1350184044756127e-18,1.5062757349653933e-19,6.267411852404313e-29,4.447185029146289e-22
22,24,4.191391224895391e-20,3.722842640328163e-30,8.059894505833878e-18,5.686026239808352e-19,3.722842640328163e-30,3.017762916467671e-23
23,25,6.132322918800925e-23,2.211368528354929e-31,1.1875434372045313e-20,8.376670318214149e-22,2.211368528354929e-31,2.0362258495370968e-24
24,26,1.3161460409477372e-23,1.313552905842828e-32,8.72752350472443e-22,1.0608018751407293e-22,1.313552905842828e-32,1.3668112576517223e-25
25,27,8.83454716621135e-22,7.802504260706398e-34,1.7668303656146795e-19,1.2462101943117632e-20,7.802504260706398e-34,5.217905283915316e-26
26,28,4.75121116548902e-26,4.6346875308596016e-35,4.5952821754775155e-24,4.5716477503029765e-25,4.6346875308596016e-35,6.072782945538927e-28
27,29,1.0811815987206242e-25,2.753004393330604e-36,2.094686560105016e-23,1.477583636698205e-24,2.753004393330604e-36,4.02236456832689e-29
28,30,7.780306462703254e-27,1.6352846096383789e-37,1.5543142213668881e-24,1.0963089323968613e-25,1.6352846096383789e-37,2.6540942161713448e-30
29,31,5.89214089058939e-28,9.713590581251972e-39,1.1441728142540474e-25,8.07075276202178e-27,9.713590581251972e-39,1.7450381934290561e-31
30,32,4.302511729589241e-29,5.769872805263672e-40,8.360232417074824e-27,5.89706049393534e-28,5.769872805263672e-40,1.3159832585228778e-30
31,33,2.754613718211131e-33,3.427304446326622e-41,8.892547510267e-32,1.515613696487355e-32,3.427304446326622e-41,7.470318837308076e-34
32,34,2.218338791454627e-31,2.0358188411180135e-42,4.37359598190955e-29,3.0848965656223214e-30,2.0358188411180135e-42,5.984831410935796e-33
33,35,4.213609766666573e-34,1.2092763916241002e-43,3.948621621090108e-32,3.927408170222269e-33,1.2092763916241002e-43,4.01267277608249e-34
34,36,8.292371939815379e-35,7.183101766247156e-45,2.722913244245843e-33,4.643099176374947e-34,7.183101766247156e-45,2.6808250731217654e-35
35,37,1.6304549525991793e-34,4.266762449150812e-46,1.582535442156177e-32,1.5743915082456594e-33,4.266762449150812e-46,1.7850262601600256e-36
36,38,3.2918361246651568e-37,2.5344568947955823e-47,1.2784234808658116e-35,1.9946623061737183e-36,2.5344568947955823e-47,1.1847951038758757e-37
37,39,1.797255635860068e-38,1.505467395508576e-48,8.708253751048571e-37,1.218524818515141e-37,1.505467395508576e-48,7.840412635047948e-39
38,40,5.534661068997782e-38,8.942476329320943e-50,5.470592757399771e-36,5.442844471608078e-37,8.942476329320943e-50,5.173688106612809e-40
39,41,2.0248848810852668e-39,5.311830939616641e-51,3.805442870625993e-37,2.684118171571579e-38,5.311830939616641e-51,3.404791825176078e-41
40,42,1.3587127723349287e-41,3.1552275781322853e-52,2.6946385852658986e-40,5.870415909439027e-41,3.1552275781322853e-52,1.559639860859394e-41
