,N,average,min,max,std,5_percentile,95_percentile
0,2,0.010471893333333333,0.007338777777777778,0.16399455555555556,0.02193180888888889,0.007338777777777778,0.007338777777777778
1,3,0.001433899327407407,0.0006286886296296297,0.020758956074074072,0.003944710689971905,0.0006286886296296297,0.0006286886296296297
2,4,0.00013433399512172836,5.385765927160494e-05,0.002353181540703704,0.0004225691899304505,5.385765927160494e-05,5.385765927160494e-05
3,5,1.3231480441551545e-05,4.6138061442674905e-06,0.0002508330717809547,4.5250117421719065e-05,4.6138061442674905e-06,4.6138061442674905e-06
4,6,1.913929823472669e-06,3.952493930255817e-07,2.5706589900477032e-05,6.011110317339568e-06,3.952493930255817e-07,2.5706589900477032e-05
5,7,1.3504881260898076e-07,3.385969800252483e-08,2.5635875631639227e-06,4.957233966196504e-07,3.385969800252483e-08,3.385969800252483e-08
6,8,9.092457570277998e-09,2.900647462216294e-09,2.5057305178468455e-07,3.8667841731308326e-08,2.900647462216294e-09,2.900647462216294e-09
7,9,1.8000016170907586e-09,2.4848879926319587e-10,2.4117916765841078e-08,5.884431274173744e-09,2.4848879926319587e-10,2.4117916765841078e-08
8,10,1.91688401231617e-10,2.1287207136880444e-11,2.2933031284000346e-09,5.984293266849331e-10,2.1287207136880444e-11,2.2933031284000346e-09
9,11,1.574008026511645e-11,1.8236040780594248e-12,2.1592323772509062e-10,5.278109646304837e-11,1.8236040780594248e-12,2.1592323772509062e-10
10,12,1.3102243021231307e-11,1.5622208268709074e-13,1.1947153962147683e-09,1.1883658493268442e-10,1.5622208268709074e-13,2.01648060271551e-11
11,13,1.4067863689162641e-12,1.3383025083527439e-14,1.2078463991989398e-10,1.2010836885067221e-11,1.3383025083527439e-14,1.87029077392985e-12
12,14,1.2281735949403967e-14,1.1464791488221841e-15,1.7245812223469576e-13,4.2232750261804056e-14,1.1464791488221841e-15,1.7245812223469576e-13
13,15,1.3496926931936327e-14,9.821504708243377e-17,1.1905917690345567e-12,1.1839219409429403e-13,9.821504708243377e-17,1.582217657317869e-14
14,16,1.3054351198008767e-16,8.413755700061826e-18,1.445234417818013e-15,4.0070298216204005e-16,8.413755700061826e-18,1.445234417818013e-15
15,17,2.0337870507451112e-17,7.207784049719631e-19,1.3150139242149963e-16,4.6698019741996014e-17,7.207784049719631e-19,1.3150139242149963e-16
