,N,average,min,max,std,5_percentile,95_percentile
0,2,0.3451531614666666,0.3280234711111111,0.8174431955555554,0.08994543925045585,0.3280234711111111,0.3280234711111111
1,3,0.21309760513725032,0.18786997602103703,0.6083304612912592,0.09985383272361172,0.18786997602103703,0.6083304612912592
2,4,0.1381022173998589,0.10759939759978193,0.4286817112848023,0.09414613077322927,0.10759939759978193,0.4286817112848023
3,5,0.0765671933350168,0.06162576165198177,0.29149394139098256,0.056668450860554664,0.06162576165198177,0.29149394139098256
4,6,0.050986895285484106,0.03529512789014502,0.4879239632506167,0.05384828417291852,0.03529512789014502,0.19327893046116548
5,7,0.03748170270962923,0.02021469624694906,0.3620319622407772,0.05230625738180726,0.02021469624694906,0.1257777177493208
6,8,0.01925497757717607,0.011577630363835958,0.26108839871106093,0.030359336766641966,0.011577630363835958,0.08067415742874076
7,9,0.018235316019704812,0.006630894830380981,0.41525838169484625,0.038462422080410986,0.006630894830380981,0.05115151463147577
8,10,0.008381371399927028,0.003797734499186867,0.12724022191286688,0.01294432986786427,0.003797734499186867,0.032129337811128006
9,11,0.0064106921655728046,0.0021750891388342916,0.08660251149899725,0.010671069622579469,0.0021750891388342916,0.020024188102712625
10,12,0.004051017540538595,0.0012457460527816931,0.05815581318921136,0.00790420698148999,0.0012457460527816931,0.012397863085412873
11,13,0.0030281873692019914,0.0007134802892965017,0.03860496637486173,0.005842103062591719,0.0007134802892965017,0.0076329352146039895
12,14,0.0017860236579607851,0.0004086339443564164,0.02537164986112227,0.0034249810852736116,0.0004086339443564164,0.004676482773517611
13,15,0.001149203775123506,0.00023403828106439823,0.01652929480349172,0.0024528380259735824,0.00023403828106439823,0.002852973230444671
14,16,0.0009768613503957327,0.00013404152484161635,0.010685858472714485,0.0022110527773248016,0.00013404152484161635,0.0017339896244061266
15,17,0.00044125465920868983,7.677004932762172e-05,0.0068610233094605995,0.0010052042095831115,7.677004932762172e-05,0.00105038513306553
16,18,0.000286180030522898,4.3968766251573216e-05,0.0043783313046262,0.0007557569410039111,4.3968766251573216e-05,0.0006343918616204463
17,19,0.00017968551823517926,2.51823780578177e-05,0.0027786707786112744,0.00044299994800957586,2.51823780578177e-05,0.00038212375373917253
18,20,0.00011271003929134403,1.4422787326314123e-05,0.0017547061197842545,0.0002541103208952698,1.4422787326314123e-05,0.00022961460195638567
19,21,0.00017510643447401255,8.260411061357642e-06,0.005664430734887779,0.0006167204772433149,8.260411061357642e-06,0.0011030853506003337
20,22,6.419466328040655e-05,4.7310127618749e-06,0.000690595685374929,0.00015499925482714998,4.7310127618749e-06,0.000690595685374929
21,23,4.2522727403924255e-05,2.709608709151151e-06,0.0004307244463518226,9.616273089394441e-05,2.709608709151151e-06,0.0004307244463518226
22,24,4.022890128245617e-05,1.5518832280211691e-06,0.0015718075070694374,0.00016519384876086595,1.5518832280211691e-06,0.0002677125805350205
23,25,2.1898429185155496e-05,8.888152541286576e-07,0.0010146112147921655,8.16990116917076e-05,8.888152541286576e-07,0.0001658627667726825
