,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.42998111762962965,0.38605511111111107,0.9999999999999999,0.13796236228034786,,,0.38605511111111107,0.38605511111111107
1,3,0.3046820988776296,0.239868909037037,0.9457035757037036,0.15903667703344612,,,0.239868909037037,0.239868909037037
2,4,0.22115215851897566,0.1490385488150123,0.9794397539998023,0.15385114884144702,,,0.1490385488150123,0.1490385488150123
3,5,0.15882891641341088,0.0926026183303943,0.928340689273978,0.1351709697635329,,,0.0926026183303943,0.0926026183303943
4,6,0.11398817779467069,0.05753709352261833,0.8489668087331975,0.1156338603018049,,,0.05753709352261833,0.05753709352261833
5,7,0.08891679041936856,0.03574971410872019,0.7503315331811877,0.10264591537253101,,,0.03574971410872019,0.18826137000600715
6,8,0.06923422397008513,0.022212489032884808,0.8575809561314063,0.0895962272333247,,,0.022212489032884808,0.13051028963956784
7,9,0.055315026261375334,0.013801359852432426,0.7763573931504408,0.07554693489754809,,,0.013801359852432426,0.08950152247650385
8,10,0.04292956986940061,0.00857524492164468,0.685516960312529,0.06662593833852663,,,0.00857524492164468,0.06083639422952213
9,11,0.034012534703854826,0.005328085511315228,0.7984013381857739,0.0586851098872163,,,0.005328085511315228,0.0410468390249392
10,12,0.026270460266994613,0.003310517131030528,0.49959818177081605,0.0478364580284714,,,0.003310517131030528,0.027521337694446923
11,13,0.021145075439848778,0.002056934644080301,0.6365626107617324,0.04249090193566786,,,0.002056934644080301,0.018353506974433248
12,14,0.016744862867776267,0.001278042058855227,0.5522838321226551,0.03603362760399844,,,0.001278042058855227,0.012182538252006261
13,15,0.012204648267637671,0.0007940901325687144,0.47082683184986407,0.027560727849849507,,,0.0007940901325687144,0.008053369026866403
14,16,0.009949079852377028,0.0004933946690360278,0.3949089075956229,0.024038910481150026,,,0.0004933946690360278,0.005304522085559012
15,17,0.008443119948102063,0.00030656255436105193,0.32629750841506255,0.02209333601926508,,,0.00030656255436105193,0.0034827085038356418
16,18,0.0067793163246493765,0.00019047753377633358,0.2659042301585738,0.018663718620956053,,,0.00019047753377633358,0.0022800079043012633
17,19,0.005963833936199602,0.00011835004098636192,0.3784773008286688,0.017604514839112184,,,0.00011835004098636192,0.0014887724039958233
18,20,0.004082870729023089,7.353482546619287e-05,0.31617532243525004,0.01262698740498593,,,7.353482546619287e-05,0.0009698391358695738
19,21,0.003472451179414979,4.56896382229945e-05,0.2608748997089012,0.012578860557418846,,,4.56896382229945e-05,0.0041941445084940025
20,22,0.002503791727811075,2.838849521588725e-05,0.10424050250832352,0.0080415976857403,,,2.838849521588725e-05,0.0028446878599092938
21,23,0.0021843851909768516,1.7638718360804607e-05,0.17167405945945896,0.007769731476493834,,,1.7638718360804607e-05,0.001922379222489932
22,24,0.0017361529703875383,1.0959523674846596e-05,0.13712692267476745,0.006966436368865098,,,1.0959523674846596e-05,0.0012947408748162355
23,25,0.0013909887796664448,6.809517376638018e-06,0.10850653913402744,0.00572599898769573,,,6.809517376638018e-06,0.0008693161911566825
24,26,0.0010790296137527164,4.230980130017755e-06,0.08510812030949265,0.004394459363897173,,,4.230980130017755e-06,0.0005820003903083469
25,27,0.0008812711078934167,2.6288489874510316e-06,0.1391072141148381,0.0047230664118366765,,,2.6288489874510316e-06,0.00038860493235954484
26,28,0.0006590482439181929,1.6333915042029076e-06,0.11150287736154547,0.0032181027547668615,,,1.6333915042029076e-06,0.00025882884425758085
27,29,0.0006235148951527432,1.01488058794474e-06,0.08863421793570665,0.003532516305022081,,,1.8951697159431603e-05,0.00017199200335735383
28,30,0.0003688713894009267,6.305791386429982e-07,0.029817266738635974,0.001432496654019673,,,1.2159622617695243e-05,0.0001140407407437406
29,31,0.0003518148744413196,3.9179983814351623e-07,0.054724548045482845,0.001971374037431564,,,7.793958153627459e-06,7.546175734667809e-05
30,32,0.0002414047034203452,2.434382994331714e-07,0.04254212001073397,0.0014312242753823138,,,4.991007538164205e-06,4.983821738557624e-05
31,33,0.00029045340713464157,1.512563300478105e-07,0.07281951448642984,0.0022811140691963057,,,3.1932613197647204e-06,3.285607392335622e-05
32,34,0.000240125082648814,9.398059973637291e-08,0.05768566163169801,0.0018122647677380117,,,2.0413554303252504e-06,2.162375555079624e-05
33,35,0.00014252318858092445,5.839327930286637e-08,0.019234401153205717,0.0008305699678428307,,,1.3039494944755953e-06,1.4208553371844556e-05
34,36,0.00013456235761965464,3.62816908735143e-08,0.03548525706091898,0.0009811888152907444,,,8.322988743301887e-07,6.796053005571207e-05
35,37,0.00010683609789283654,2.2543023929410216e-08,0.027573411784706577,0.0008927648175377136,,,5.308737008612612e-07,4.575607714193988e-05
36,38,7.381783141048091e-05,1.4006732201473548e-08,0.02130141011792707,0.0005306256245370476,,,3.38385817863067e-07,3.074238392079243e-05
37,39,5.964931480319796e-05,8.702849607848897e-09,0.016365205428356785,0.00043490204736292817,,,2.1555427075921024e-07,2.0614289461360855e-05
38,40,5.588436927038412e-05,5.407370556343448e-09,0.029655662321430912,0.0006278021657124365,,,1.372265326165614e-07,1.3796956546334574e-05
39,41,3.260698716660305e-05,3.3597795723413952e-09,0.009509902018025965,0.00025046098059041354,,,8.731100991642554e-08,9.217674184673681e-06
40,42,3.288351279987829e-05,2.08754304094812e-09,0.007196506109131172,0.0002549110786429594,,,5.552147735946567e-08,6.1477875600458546e-06
41,43,2.0363031432329753e-05,1.2970600761090985e-09,0.005420906707998275,0.00016567242301556201,,,3.5287827564187026e-08,4.093639832961553e-06
42,44,2.1443736228729285e-05,8.059066606224532e-10,0.010691937937613236,0.00023232704341222892,,,2.2416656942034843e-08,2.7216060944510453e-06
