,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.011114612533333335,0.003528360000000001,1.0,0.0443355065375569,,,0.003528360000000001,0.003528360000000001
1,3,0.00129595275216,0.0002095845840000001,0.16782450458400003,0.006698553342545222,,,0.0002095845840000001,0.0002095845840000001
2,4,0.00022517088086370244,1.2449324289600008e-05,0.019530831300868804,0.0015613472020026204,,,1.2449324289600008e-05,1.2449324289600008e-05
3,5,4.7626096445740006e-05,7.394898628022405e-07,0.0312756902248928,0.000826637272586576,,,7.394898628022405e-07,7.394898628022405e-07
4,6,2.4625779469042197e-06,4.392569785045309e-08,0.00016943136461525086,1.685514588988789e-05,,,4.392569785045309e-08,4.392569785045309e-08
5,7,7.764259793227841e-07,2.609186452316914e-09,0.00037663181678109745,1.3843124622422012e-05,,,2.609186452316914e-09,2.609186452316914e-09
6,8,1.2936966942107873e-07,1.5498567526762471e-10,3.55695124935057e-05,1.8413955713341583e-06,,,1.5498567526762471e-10,1.5498567526762471e-10
7,9,3.3780023810775536e-08,9.206149110896909e-12,7.60877142428716e-05,1.3948015020979552e-06,,,9.206149110896909e-12,9.206149110896909e-12
8,10,1.4058962828834632e-09,5.468452571872765e-13,2.6681367331817535e-07,1.7548107068648523e-08,,,5.468452571872765e-13,8.71398837942836e-11
9,11,3.594321907590303e-10,3.2482608276924226e-14,6.957020802913535e-07,1.2789623198253092e-08,,,3.2482608276924226e-14,5.6904717462908e-12
10,12,3.0430166195144363e-11,1.9294669316492994e-15,6.176825292154132e-08,1.1334337819387018e-09,,,1.9294669316492994e-15,3.6856716307494843e-13
11,13,1.139483612171472e-09,1.146103357399684e-16,3.252788281076417e-06,5.9441679174895155e-08,,,1.146103357399684e-16,2.370774608256127e-14
12,14,3.6366312657112433e-13,6.8078539429541245e-18,4.3846425809085444e-10,1.1341793576104768e-11,,,6.8078539429541245e-18,1.5160425991011541e-15
13,15,3.377723060376969e-14,4.04386524211475e-19,3.544722702927027e-11,9.184217339443472e-13,,,4.04386524211475e-19,9.645639780535122e-17
14,16,4.553336525966779e-15,2.402055953816162e-20,2.80284751328195e-12,1.0244485753009675e-13,,,2.402055953816162e-20,6.109875994311176e-18
15,17,4.780762359322861e-16,1.4268212365668005e-21,2.1741265561567445e-13,9.719073229587651e-15,,,1.4268212365668005e-21,3.855203723636787e-19
16,18,2.9513895180963917e-16,8.475318145206795e-23,7.395670794699555e-13,1.3526539163620977e-14,,,8.475318145206795e-23,2.4241978173517255e-20
17,19,6.242912597335365e-17,5.0343389782528375e-24,5.952922413210459e-14,1.882271504142589e-15,,,5.0343389782528375e-24,1.5196923459807402e-21
18,20,4.949119716048096e-18,2.990397353082186e-25,4.708458165368971e-15,1.4887936437459788e-16,,,2.990397353082186e-25,9.50050245942006e-23
19,21,3.9223077663622847e-19,1.7762960277308186e-26,3.6665350080350967e-16,1.1594584956405873e-17,,,1.7762960277308186e-26,5.924575235926427e-24
20,22,2.0602399337199787e-20,1.0551198404721064e-27,2.815555464232481e-17,7.272366252898662e-19,,,1.0551198404721064e-27,3.686276094508659e-25
21,23,9.139931088608742e-22,6.267411852404313e-29,2.1350184044756127e-18,3.9054647431332196e-20,,,6.267411852404313e-29,2.2888925723329499e-26
22,24,3.3451787180725915e-22,3.722842640328163e-30,1.6005970402285833e-19,7.152631914209366e-21,,,3.722842640328163e-30,1.4185534638494874e-27
