,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.34407203437777767,0.3280234711111111,0.9999999999999999,0.08739461267550899,,,0.3280234711111111,0.3280234711111111
1,3,0.20710436695959342,0.18786997602103703,0.9219995626877038,0.08914938766409818,,,0.18786997602103703,0.18786997602103703
2,4,0.13441994905074683,0.10759939759978193,0.7879792112977162,0.09110265644270903,,,0.10759939759978193,0.10759939759978193
3,5,0.08119614786188217,0.06162576165198177,0.6344633661255319,0.06954123653334975,,,0.06162576165198177,0.06162576165198177
4,6,0.0511201258413217,0.03529512789014502,0.7810027690004469,0.05287577288683296,,,0.03529512789014502,0.03529512789014502
5,7,0.033904343814844806,0.02021469624694906,0.3620319622407772,0.0414165449586879,,,0.02021469624694906,0.02021469624694906
6,8,0.021796203231337435,0.011577630363835958,0.26108839871106093,0.03101243352206735,,,0.011577630363835958,0.011577630363835958
7,9,0.015070283365112383,0.006630894830380981,0.41525838169484625,0.02444577097252632,,,0.006630894830380981,0.006630894830380981
8,10,0.00981647837145358,0.003797734499186867,0.31645083960053827,0.019183108467476444,,,0.003797734499186867,0.003797734499186867
9,11,0.006339741049815867,0.0021750891388342916,0.23560744968318587,0.013360945342801973,,,0.0021750891388342916,0.0021750891388342916
10,12,0.00418457401850578,0.0012457460527816931,0.05815581318921136,0.008426804128742327,,,0.0012457460527816931,0.0012457460527816931
11,13,0.0029027968846583444,0.0007134802892965017,0.12332530257037681,0.006957279653754008,,,0.0007134802892965017,0.0007134802892965017
12,14,0.0020874387885666287,0.0004086339443564164,0.08712712692523973,0.006041581230427422,,,0.0004086339443564164,0.0004086339443564164
13,15,0.0014150231714195425,0.00023403828106439823,0.15968878321762667,0.004929358179532157,,,0.00023403828106439823,0.00023403828106439823
14,16,0.0009241884604042241,0.00013404152484161635,0.11741172365599867,0.0035639214748099295,,,0.00013404152484161635,0.00013404152484161635
15,17,0.0006537299300762476,7.677004932762172e-05,0.08512708199431458,0.002599037423723454,,,7.677004932762172e-05,0.00105038513306553
16,18,0.0004744784201899829,4.3968766251573216e-05,0.06094720988783265,0.0019112912466375607,,,4.3968766251573216e-05,0.0006343918616204463
