,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.9048498446000001,0.003528360000000001,1.0,0.27497454653578185,,,1.0,1.0
1,3,0.8511888941964854,0.0002095845840000001,1.0,0.32166523916094264,,,1.0,1.0
2,4,0.8350873707099977,1.2449324289600008e-05,1.0,0.3263648553649216,,,1.0,1.0
3,5,0.8021591523370287,0.0019135429148328146,1.0,0.3375441724628714,,,0.26375073870841487,1.0
4,6,0.7779192416796484,0.00016943136461525086,1.0,0.3421913095077209,,,0.307483944829135,1.0
5,7,0.7593790244448928,0.006118421451252338,0.9999999999999999,0.34046015089871956,,,0.34861939850628443,0.9999999999999999
6,8,0.7403290046093616,3.55695124935057e-05,1.0,0.337153730472551,,,0.3873114062350111,1.0
7,9,0.7225569023894983,0.0012309792465293433,0.9999999999999999,0.33480767747922624,,,0.4237051087046514,0.9999999999999999
8,10,0.7118566443716403,0.00195517323004178,1.0,0.332452773379799,,,0.45793702524759516,1.0
9,11,0.6964555907530287,0.0002522310778122849,1.0,0.331509718978613,,,0.490135565947888,1.0
10,12,0.7005158815901453,0.004186830265048469,1.0,0.3211328784090891,,,0.5204215133305835,1.0
11,13,0.6828731172025159,0.000635461680901558,1.0,0.3216363629696697,,,0.5489084754387468,1.0
12,14,0.6734312688186779,0.0009401691054213631,1.0,0.31870413145614124,,,0.5757033119976852,1.0
13,15,0.6656240844699712,0.0013414200303260232,1.0,0.31534062896969406,,,0.6009065352650227,1.0
14,16,0.6609162659716087,0.001856079057551464,0.9999999999999999,0.32102346347582644,,,0.24531425818615796,0.9999999999999999
15,17,0.650071910480884,0.0025015300988957966,1.0,0.31073753128402254,,,0.26784458486187485,1.0
16,18,0.6521300700993958,0.0032954448097653466,0.9999999999999999,0.3093344329493744,,,0.2903611117125028,0.9999999999999999
17,19,0.6478704347783922,0.004255559894536074,1.0,0.3119393184339612,,,0.312785983053833,1.0
18,20,0.6456975707887954,0.00010144915956026485,1.0,0.3047698229007802,,,0.33505064114769123,1.0
19,21,0.6521060102218894,0.0010956319848411497,1.0,0.299792677353483,,,0.35709499630883124,1.0
20,22,0.631579078840125,0.0014311696917739774,1.0,0.3025989479559748,,,0.37886666279662795,1.0
21,23,0.6279883130729841,0.0018396019786623536,1.0,0.3043966558878422,,,0.4003202556044982,0.7554799863107295
22,24,0.6327770632055953,4.8087659021262273e-05,1.0,0.29601731178902657,,,0.42141674360844833,0.7700044751238723
23,25,0.6224201976320259,0.00048357935043479385,1.0,0.3038221736509899,,,0.44212285486046443,0.7836662093015142
24,26,0.6224402204771944,0.0006279298163076886,1.0,0.3019284979117001,,,0.46241053011426286,0.7965164364690043
25,27,0.6120916383115969,0.0008044386789677468,0.9999999999999999,0.30290054113999343,,,0.4822564209517345,0.8086033601427454
26,28,0.6236930149263327,0.0010178984112480978,1.0,0.30077179445460883,,,0.5016414291396806,0.8199723205502664
27,29,0.6113201869933741,0.0012734368783899682,1.0,0.2979851008356785,,,0.5205502840894694,0.8306659647095805
28,30,0.6219409131817789,0.00027766188073058884,1.0,0.2973836640753832,,,0.538971155518304,0.8407244064058315
29,31,0.6115834787617548,0.0019328239287422187,1.0,0.29712253562986823,,,0.2790710805288765,0.8501853766653251
30,32,0.6164008266350294,0.00044854665706538276,1.0,0.29649056056248646,,,0.29557383908355,0.8590843652914048
31,33,0.6091353388613119,0.002829542963564945,0.9999999999999999,0.2971808386480668,,,0.3121311667598443,0.8674547539930952
32,34,0.5952536096803072,0.0006961269645620941,1.0,0.3006610222594706,,,0.32870975190844565,0.8753279416059054
33,35,0.6108379657498113,0.00015754609561382428,0.9999999999999999,0.29390996583994944,,,0.3452781826736434,0.8827334618745146
34,36,0.6062098766857071,0.0010433320980774122,1.0,0.2932973408995468,,,0.3618069496197366,0.8896990942391685
35,37,0.6039223976208092,0.0012624115320599304,1.0,0.2961580233051893,,,0.3782684347615551,0.896250968041362
36,38,0.6010545352291117,0.0015165597413048107,1.0,0.2961319640770439,,,0.394636888995915,0.9024136605397051
37,39,0.5940235560173149,0.000381063664630073,1.0,0.2986037397170219,,,0.41088839971835606,0.9082102891036465
38,40,0.6066165077883211,0.0004659181875728051,1.0,0.2921116890227111,,,0.4270008502166154,0.9136625979308899
39,41,0.5906639345093149,0.0005656858929227224,1.0,0.294265706369277,,,0.442953872257313,0.918791039613795
40,42,0.6010543708663348,0.00013818570961856436,0.9999999999999999,0.2938177677956875,,,0.4587287931237409,0.9236148518607356
41,43,0.604464377432143,0.0034532225371703617,1.0,0.29171803833995225,,,0.474308578219051,0.928152129660208
42,44,0.5901510292835704,0.00020895085202605223,1.0,0.29617467939022324,,,0.26426295421641927,0.9324198931583917
