,res,resnet_model,lr,weight_decay,batchsize,model_n,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,Epochs,Training time,Time
0,100,ResNet18,0.001,0.0,256,0,0.584,0.9840553854467123,0.8576666666666667,0.7146666666666667,0.2823333333333333,0.143,0.554,0.9523333333333334,47.0,0:54:15.996585,14683982.612439448
1,100,ResNet18,0.001,0.0,256,1,0.5894444444444444,0.9704832890295833,0.9456666666666667,0.6673333333333333,0.6483333333333333,0.09433333333333334,0.23033333333333333,0.9506666666666667,52.0,1:00:00.762344,14687596.375966396
2,100,ResNet18,0.001,0.0,256,2,0.5926111111111111,0.928274039908689,0.8703333333333333,0.8606666666666667,0.226,0.4003333333333333,0.2876666666666667,0.9106666666666666,31.0,0:35:46.331618,14689755.735134335
3,100,ResNet18,0.001,0.0,256,3,0.595,0.9381364577553504,0.8893333333333333,0.8446666666666667,0.298,0.038,0.6773333333333333,0.8226666666666667,39.0,0:44:59.335126,14692467.919297596
4,100,ResNet18,0.001,0.0,512,0,0.5952777777777778,0.9339917774877219,0.884,0.8553333333333333,0.32566666666666666,0.027333333333333334,0.62,0.8593333333333333,27.0,0:30:08.481921,14694289.254205367
5,100,ResNet18,0.001,0.0,512,1,0.5910555555555556,0.9749775020679496,0.9593333333333334,0.649,0.4703333333333333,0.19,0.32233333333333336,0.9553333333333334,66.0,1:13:41.576901,14698723.8286466
6,100,ResNet18,0.001,0.0,512,2,0.5133888888888889,1.1665743510447304,0.6896666666666667,0.938,0.19933333333333333,0.0023333333333333335,0.5733333333333334,0.6776666666666666,43.0,0:48:02.928956,14701619.630966228
7,100,ResNet18,0.001,0.0,512,3,0.6022777777777778,0.9198808690911927,0.8986666666666666,0.8126666666666666,0.37733333333333335,0.09933333333333333,0.5013333333333333,0.9243333333333333,60.0,1:06:56.778344,14705649.388821341
8,100,ResNet18,0.001,0.0,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
9,100,ResNet18,0.001,0.0,1024,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
10,100,ResNet18,0.001,0.0,1024,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
11,100,ResNet18,0.001,0.0,1024,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
12,100,ResNet18,0.001,0.5,256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
13,100,ResNet18,0.001,0.5,256,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
14,100,ResNet18,0.001,0.5,256,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
15,100,ResNet18,0.001,0.5,256,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
16,100,ResNet18,0.001,0.5,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
17,100,ResNet18,0.001,0.5,512,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
18,100,ResNet18,0.001,0.5,512,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
19,100,ResNet18,0.001,0.5,512,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
20,100,ResNet18,0.001,0.5,1024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
21,100,ResNet18,0.001,0.5,1024,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
22,100,ResNet18,0.001,0.5,1024,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
23,100,ResNet18,0.001,0.5,1024,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
24,100,ResNet18,0.01,0.0,256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
25,100,ResNet18,0.01,0.0,256,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,time,0.0
