,res,resnet_model,lr,weight_decay,batchsize,model_n,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,Epochs,Training time,Time
0,50,ResNet18,0.001,0.0,256,0,0.5856111111111111,0.9764006470738626,0.8596666666666667,0.7793333333333333,0.44633333333333336,0.202,0.45166666666666666,0.7746666666666666,55.0,0:20:04.867495,14508211.54144634
1,50,ResNet18,0.001,0.0,256,1,0.5865,0.9596571739306953,0.8996666666666666,0.821,0.43933333333333335,0.3233333333333333,0.21233333333333335,0.8233333333333334,18.0,0:05:35.948240,14508548.91871174
2,50,ResNet18,0.001,0.0,256,2,0.5878888888888889,0.966248696547599,0.8763333333333333,0.7666666666666667,0.3953333333333333,0.22033333333333333,0.32133333333333336,0.9473333333333334,25.0,0:09:41.339560,14509131.670284892
3,50,ResNet18,0.001,0.0,256,3,0.5942222222222222,0.9344455553499311,0.9496666666666667,0.7946666666666666,0.375,0.3283333333333333,0.25433333333333336,0.8633333333333333,24.0,0:09:27.681442,14509700.968612863
4,50,ResNet18,0.001,0.0,512,0,0.5679444444444445,1.0422528049893793,0.772,0.6916666666666667,0.5553333333333333,0.0,0.48833333333333334,0.9003333333333333,26.0,0:07:25.303369,14510147.888830949
5,50,ResNet18,0.001,0.0,512,1,0.5062222222222222,1.2524640586528073,0.888,0.918,0.27166666666666667,0.10966666666666666,0.39766666666666667,0.4523333333333333,28.0,0:08:42.655224,14510671.956887292
6,50,ResNet18,0.001,0.0,512,2,0.5825,0.9809145570768651,0.9316666666666666,0.8426666666666667,0.37766666666666665,0.05733333333333333,0.415,0.8706666666666667,17.0,0:06:00.167951,14511033.723907355
7,50,ResNet18,0.001,0.0,512,3,0.5953888888888889,0.9416092647599018,0.9236666666666666,0.7246666666666667,0.465,0.08266666666666667,0.443,0.9333333333333333,31.0,0:10:44.879305,14511680.20424378
8,50,ResNet18,0.001,0.0,1024,0,0.5943888888888889,0.938901292122796,0.9093333333333333,0.839,0.43633333333333335,0.161,0.41833333333333333,0.8023333333333333,43.0,0:11:32.650934,14512374.24870139
9,50,ResNet18,0.001,0.0,1024,1,0.5966111111111111,0.9279220172393456,0.9056666666666666,0.814,0.4266666666666667,0.31166666666666665,0.19833333333333333,0.9233333333333333,40.0,0:13:27.779467,14513183.639230533
10,50,ResNet18,0.001,0.0,1024,2,0.5806111111111111,1.013628156100717,0.856,0.8473333333333334,0.4066666666666667,0.13233333333333333,0.493,0.7483333333333333,48.0,0:14:04.292150,14514029.524715671
11,50,ResNet18,0.001,0.0,1024,3,0.5938333333333333,0.935675175229866,0.9336666666666666,0.787,0.4126666666666667,0.095,0.5063333333333333,0.8283333333333334,35.0,0:10:40.465020,14514671.424380368
12,50,ResNet18,0.001,0.5,256,0,0.16666666666666666,1.7917676936903888,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0:04:44.069003,14514957.103073668
13,50,ResNet18,0.001,0.5,256,1,0.16666666666666666,1.7917642935320588,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0:04:44.360551,14515243.073725509
14,50,ResNet18,0.001,0.5,256,2,0.16666666666666666,1.7917661759079924,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0:04:38.350776,14515523.03616109
15,50,ResNet18,0.001,0.5,256,3,0.16666666666666666,1.7917659585695567,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0:04:03.603978,14515768.033889808
16,50,ResNet18,0.001,0.5,512,0,0.3778888888888889,1.5881851053889768,0.7686666666666667,0.676,0.010666666666666666,0.0,0.07466666666666667,0.7373333333333333,12.0,0:03:20.459054,14515969.891059792
17,50,ResNet18,0.001,0.5,512,1,0.16666666666666666,1.7917610058462732,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0:06:41.843787,14516373.1471007
18,50,ResNet18,0.001,0.5,512,2,0.16666666666666666,1.7917601389425384,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0:06:01.927042,14516736.668629015
19,50,ResNet18,0.001,0.5,512,3,0.24488888888888888,1.718799632970215,0.9743333333333334,0.495,0.0,0.0,0.0,0.0,13.0,0:04:37.225997,14517015.491803024
20,50,ResNet18,0.001,0.5,1024,0,0.22633333333333333,1.7685821527012562,0.9903333333333333,0.36766666666666664,0.0,0.0,0.0,0.0,22.0,0:07:07.413996,14517444.50594097
21,50,ResNet18,0.001,0.5,1024,1,0.16966666666666666,2.136241500018072,0.018,0.0,0.0,0.0,0.0,1.0,17.0,0:04:32.693187,14517718.630506678
22,50,ResNet18,0.001,0.5,1024,2,0.23283333333333334,1.80385784857252,0.44966666666666666,0.9473333333333334,0.0,0.0,0.0,0.0,26.0,0:07:23.320133,14518163.363342736
23,50,ResNet18,0.001,0.5,1024,3,0.3313888888888889,1.5869745661702312,0.987,0.08933333333333333,0.395,0.043666666666666666,0.009333333333333334,0.464,15.0,0:05:04.828912,14518469.801479045
24,50,ResNet18,0.01,0.0,256,0,0.5698888888888889,1.0170440178682956,0.959,0.753,0.43533333333333335,0.207,0.33166666666666667,0.7333333333333333,27.0,0:10:39.613012,14519111.039646622
25,50,ResNet18,0.01,0.0,256,1,0.42833333333333334,1.567954103148343,0.6883333333333334,0.5633333333333334,0.116,0.002,0.20066666666666666,0.9996666666666667,30.0,0:09:47.562032,14519700.210259637
26,50,ResNet18,0.01,0.0,256,2,0.5488888888888889,1.0988401160218213,0.9613333333333334,0.7363333333333333,0.5803333333333334,0.056,0.383,0.5763333333333334,46.0,0:17:03.383645,14520725.011785496
27,50,ResNet18,0.01,0.0,256,3,0.5082222222222222,1.1919462313782307,0.776,0.8026666666666666,0.22133333333333333,0.014666666666666666,0.27066666666666667,0.964,19.0,0:07:24.827513,14521171.444615232
28,50,ResNet18,0.01,0.0,512,0,0.5443888888888889,1.0991748382188848,0.785,0.9273333333333333,0.23633333333333334,0.0023333333333333335,0.585,0.7303333333333333,42.0,0:11:48.677305,14521881.537115237
29,50,ResNet18,0.01,0.0,512,1,0.5304444444444445,1.1815629132431338,0.8053333333333333,0.5013333333333333,0.4676666666666667,0.30333333333333334,0.132,0.973,43.0,0:15:15.200390,14522798.329219533
30,50,ResNet18,0.01,0.0,512,2,0.5260555555555556,1.1923742412065321,0.899,0.6763333333333333,0.294,0.14733333333333334,0.14933333333333335,0.9903333333333333,28.0,0:08:49.118098,14523329.050935691
31,50,ResNet18,0.01,0.0,512,3,0.5562777777777778,1.0375529300130695,0.93,0.5353333333333333,0.5856666666666667,0.435,0.034666666666666665,0.817,39.0,0:11:46.556827,14524037.01628633
