,res,resnet_model,lr,cycle_T,weight_decay,batchsize,model_n,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,Epochs,Training time,Time
0,50,ResNet18,0.0001,5,0.0,256,0,0.5968333333333333,0.9395339368155371,0.9196666666666666,0.7793333333333333,0.49633333333333335,0.23533333333333334,0.26366666666666666,0.8866666666666667,45.0,0:32:29.671560,15212082.874557912
1,50,ResNet18,0.0001,5,0.0,256,1,0.5856111111111111,0.9582585890140161,0.8856666666666667,0.8013333333333333,0.4676666666666667,0.38666666666666666,0.132,0.8403333333333334,28.0,0:20:03.652775,15213287.852476897
2,50,ResNet18,0.0001,5,0.0,256,2,0.5915555555555555,0.9368168719351094,0.8963333333333333,0.835,0.477,0.222,0.2796666666666667,0.8393333333333334,52.0,0:37:31.064361,15215540.212973556
3,50,ResNet18,0.0001,5,0.0,256,3,0.594,0.9367107241772592,0.935,0.804,0.43,0.08233333333333333,0.4513333333333333,0.8613333333333333,53.0,0:40:13.713191,15217955.215280645
4,50,ResNet18,0.0001,5,0.1,256,0,0.4041666666666667,1.5793201082419146,0.9606666666666667,0.828,0.214,0.083,0.23633333333333334,0.103,27.0,0:20:43.654276,15219200.171033716
5,50,ResNet18,0.0001,5,0.1,256,1,0.5549444444444445,1.0662230389547562,0.9116666666666666,0.6526666666666666,0.37533333333333335,0.11,0.38233333333333336,0.8976666666666666,25.0,0:19:10.648508,15220352.117584255
6,50,ResNet18,0.0001,5,0.1,256,2,0.5357222222222222,1.1472536329279306,0.8443333333333334,0.8843333333333333,0.25133333333333335,0.21266666666666667,0.24966666666666668,0.772,19.0,0:14:36.306156,15221229.724341411
7,50,ResNet18,0.0001,5,0.1,256,3,0.5183333333333333,1.1843793539221465,0.651,0.8446666666666667,0.5806666666666667,0.16966666666666666,0.21333333333333335,0.6506666666666666,32.0,0:24:33.677787,15222704.70208052
8,50,ResNet18,0.0001,50,0.0,256,0,0.5927222222222223,0.9463012413507819,0.9243333333333333,0.7926666666666666,0.49333333333333335,0.13233333333333333,0.3636666666666667,0.85,39.0,0:29:51.314201,15224497.318403715
9,50,ResNet18,0.0001,50,0.0,256,1,0.5970555555555556,0.9285066983792082,0.936,0.8086666666666666,0.45966666666666667,0.291,0.19466666666666665,0.8923333333333333,50.0,0:38:14.821493,15226793.44476666
10,50,ResNet18,0.0001,50,0.0,256,2,0.5959444444444445,0.9374037234022458,0.9166666666666666,0.806,0.44566666666666666,0.175,0.33366666666666667,0.8986666666666666,53.0,0:40:33.727839,15229228.479442572
11,50,ResNet18,0.0001,50,0.0,256,3,0.5880555555555556,0.961671886251298,0.9393333333333334,0.8266666666666667,0.42033333333333334,0.3416666666666667,0.166,0.8343333333333334,49.0,0:37:43.203707,15231492.987188082
12,50,ResNet18,0.0001,50,0.1,256,0,0.5257222222222222,1.1526824246878404,0.91,0.524,0.44233333333333336,0.162,0.16233333333333333,0.9536666666666667,30.0,0:23:10.337467,15232884.63143087
13,50,ResNet18,0.0001,50,0.1,256,1,0.48488888888888887,1.2355984270626446,0.9213333333333333,0.48533333333333334,0.7533333333333333,0.026333333333333334,0.204,0.519,29.0,0:22:22.252612,15234228.374923512
14,50,ResNet18,0.0001,50,0.1,256,2,0.4847222222222222,1.2593083498240076,0.6893333333333334,0.5166666666666667,0.518,0.166,0.043,0.9753333333333334,27.0,0:20:49.918962,15235479.604258155
15,50,ResNet18,0.0001,50,0.1,256,3,0.39716666666666667,1.6492647485783447,0.635,0.623,0.04566666666666667,0.008666666666666666,0.078,0.9926666666666667,24.0,0:17:54.072954,15236554.988449672
16,50,ResNet18,0.0001,500,0.0,256,0,0.5897222222222223,0.9764964143886058,0.9086666666666666,0.7446666666666667,0.44966666666666666,0.12633333333333333,0.34833333333333333,0.9606666666666667,54.0,0:40:41.723719,15238998.039593713
17,50,ResNet18,0.0001,500,0.0,256,1,0.5944444444444444,0.9445333537969463,0.8856666666666667,0.8323333333333334,0.37366666666666665,0.12933333333333333,0.455,0.8906666666666667,49.0,0:36:58.097601,15241217.635977995
18,50,ResNet18,0.0001,500,0.0,256,2,0.591,0.9517188066233587,0.9426666666666667,0.6856666666666666,0.413,0.28833333333333333,0.295,0.9213333333333333,59.0,0:44:32.301214,15243891.433024261
19,50,ResNet18,0.0001,500,0.0,256,3,0.5886666666666667,0.9557152335920756,0.8746666666666667,0.7553333333333333,0.3863333333333333,0.265,0.381,0.8696666666666667,46.0,0:34:41.496201,15245974.252382793
20,50,ResNet18,0.0001,500,0.1,256,0,0.45761111111111114,1.4536315948042693,0.8816666666666667,0.645,0.2856666666666667,0.411,0.32266666666666666,0.19966666666666666,18.0,0:13:33.468038,15246789.232969964
21,50,ResNet18,0.0001,500,0.1,256,1,0.484,1.285524374023452,0.946,0.843,0.2803333333333333,0.08333333333333333,0.2653333333333333,0.486,28.0,0:21:11.567516,15248062.122525584
22,50,ResNet18,0.0001,500,0.1,256,2,0.5466111111111112,1.0830029372533438,0.8223333333333334,0.8463333333333334,0.5846666666666667,0.017666666666666667,0.258,0.7506666666666667,26.0,0:19:38.754802,15249242.19407708
23,50,ResNet18,0.0001,500,0.1,256,3,0.5275555555555556,1.1467038191124876,0.8496666666666667,0.8703333333333333,0.24333333333333335,0.19733333333333333,0.41833333333333333,0.5863333333333334,25.0,0:18:53.993454,15250377.697708808
