,lr,max_depth,gamma,lambda,subsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time
0,0.001,3,0.001,0.001,1.0,0.5125,1.2192631259206281,0.8913333333333333,0.7073333333333334,0.32233333333333336,0.17333333333333334,0.2786666666666667,0.702,50000.0,0:07:24.101803,14328988.02396498
1,0.001,3,0.001,0.001,0.8,0.516,1.207610901986399,0.8896666666666667,0.7103333333333334,0.3333333333333333,0.17066666666666666,0.2826666666666667,0.7093333333333334,50000.0,0:07:41.825891,14329449.858835077
2,0.001,3,0.001,0.001,0.6,0.5191666666666667,1.2025317288354507,0.8883333333333333,0.712,0.3396666666666667,0.17366666666666666,0.2836666666666667,0.7176666666666667,50000.0,0:07:46.444202,14329916.31213509
3,0.001,3,0.001,0.001,0.4,0.5218888888888888,1.1993608609624042,0.889,0.7153333333333334,0.34833333333333333,0.17333333333333334,0.2833333333333333,0.722,50000.0,0:07:48.094609,14330384.415873216
4,0.001,3,0.001,0.01,1.0,0.5128888888888888,1.2191921030831545,0.8903333333333333,0.7076666666666667,0.3233333333333333,0.17433333333333334,0.2796666666666667,0.702,50000.0,0:07:23.651619,14330828.07657626
5,0.001,3,0.001,0.01,0.8,0.5162222222222222,1.2076071396933967,0.8893333333333333,0.7106666666666667,0.333,0.171,0.283,0.7103333333333334,50000.0,0:07:41.939896,14331290.025581414
6,0.001,3,0.001,0.01,0.6,0.5196111111111111,1.2025317102858777,0.8883333333333333,0.7126666666666667,0.339,0.17566666666666667,0.2836666666666667,0.7183333333333334,50000.0,0:07:44.604798,14331754.640150947
7,0.001,3,0.001,0.01,0.4,0.5221666666666667,1.1993275114948618,0.889,0.715,0.349,0.174,0.284,0.722,50000.0,0:07:48.345515,14332222.995487647
8,0.001,3,0.001,0.1,1.0,0.5124444444444445,1.2191286447243495,0.8906666666666667,0.7073333333333334,0.32233333333333336,0.17166666666666666,0.2816666666666667,0.701,50000.0,0:07:23.084634,14332666.089218292
9,0.001,3,0.001,0.1,0.8,0.516,1.20762280461894,0.8893333333333333,0.7106666666666667,0.33266666666666667,0.171,0.2833333333333333,0.709,50000.0,0:07:41.615409,14333127.713791268
10,0.001,3,0.001,0.1,0.6,0.5192777777777777,1.2025282863836544,0.888,0.7126666666666667,0.3393333333333333,0.174,0.2836666666666667,0.718,50000.0,0:10:47.490024,14333775.214920957
11,0.001,3,0.001,0.1,0.4,0.5224444444444445,1.1992343474100837,0.889,0.7156666666666667,0.349,0.175,0.284,0.722,50000.0,0:07:50.189461,14334245.41386556
12,0.001,3,0.001,1.0,1.0,0.5118333333333334,1.2195280866405096,0.8906666666666667,0.7076666666666667,0.32366666666666666,0.166,0.2803333333333333,0.7026666666666667,50000.0,0:07:23.806149,14334689.22950745
13,0.001,3,0.001,1.0,0.8,0.5151666666666667,1.2078309578143276,0.8893333333333333,0.7116666666666667,0.3313333333333333,0.17066666666666666,0.28,0.708,50000.0,0:07:42.214487,14335151.453522785
14,0.001,3,0.001,1.0,0.6,0.5191111111111111,1.2028147399998272,0.888,0.713,0.339,0.17533333333333334,0.2806666666666667,0.7186666666666667,50000.0,0:07:43.540944,14335615.004144777
15,0.001,3,0.001,1.0,0.4,0.5217777777777778,1.1994294636652167,0.8876666666666667,0.715,0.3476666666666667,0.175,0.2836666666666667,0.7216666666666667,50000.0,0:07:47.276443,14336082.289720109
